Date;Device Type;Country;Region;City;Browser;OS;Language (browser);Language (OS);Screen Size;JS enabled;Supports Flash;Cookies Enabled;Pageviews
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows 7;German;German;1680x1050;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows 7;German;German;1680x1050;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 7;Windows 7;English (United States)  ;English (United States)  ;Other;No;No;Enabled;3
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 7;Windows 7;English (United States)  ;English (United States)  ;Other;No;No;Enabled;8
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 8;Windows XP;German;German;1680x1050;No;No;Enabled;7
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 8;Windows XP;German;German;1680x1050;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 8;Windows XP;German;German;1680x1050;No;No;Enabled;3
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 8;Windows XP;German;German;1680x1050;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 9;Windows 7;English (United States)  ;English (United States)  ;Other;No;No;Enabled;27
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 9;Windows 7;English (United States)  ;English (United States)  ;Other;No;No;Enabled;5
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 9;Windows 7;English (United States)  ;English (United States)  ;Other;No;No;Enabled;11
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 9;Windows 7;English (United States)  ;English (United States)  ;Other;No;No;Enabled;5
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 9;Windows 7;German;German;1920x1200;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 9;Windows 7;German;German;1920x1200;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 10;Windows 7;German;German;1680x1050;No;No;Enabled;3
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 10;Windows 7;German;German;1680x1050;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 10;Windows 7;German;German;1680x1050;No;No;Enabled;7
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 10;Windows 7;German;German;1680x1050;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 10;Windows 8;Italian;Italian;Other;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 10;Windows 8;Italian;Italian;Other;No;No;Enabled;3
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 10;Windows 8;German;German;Other;No;No;Enabled;23
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 10;Windows 8;German;German;Other;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 3.x;German;German;Other;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 3.x;German;German;Other;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 3.x;German;German;Other;No;No;Enabled;3
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 3.x;German;German;Other;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;Other;No;No;Enabled;33
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;Other;No;No;Enabled;90
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;Other;No;No;Enabled;7
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;Other;No;No;Enabled;14
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;1280x1024;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;1280x1024;No;No;Enabled;11
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;1920x1200;No;No;Enabled;7
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;1920x1200;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;1920x1200;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;1920x1200;No;No;Enabled;3
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;1280x1024;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;1280x1024;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;1280x1024;No;No;Enabled;9
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;1280x1024;No;No;Enabled;3
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;Other;No;No;Enabled;15
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Explorer 11;Windows 7;German;German;Other;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows Vista;German;German;1920x1080;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows Vista;German;German;1920x1080;No;No;Enabled;3
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows Vista;German;German;Other;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows Vista;German;German;Other;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows Vista;German;German;Other;No;No;Enabled;3
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows Vista;German;German;Other;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Mac OS X;German;German;1920x1080;No;No;Enabled;3
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Mac OS X;German;German;1920x1080;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Mac OS X;German;German;1920x1080;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Mac OS X;German;German;1920x1080;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows 7;German;German;1280x800;No;No;Enabled;5
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows 7;German;German;1280x800;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows 7;German;German;1280x800;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows 7;German;German;1280x800;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows 7;German;German;Other;No;No;Enabled;31
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows 7;German;German;Other;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows 7;German;German;Other;No;No;Enabled;1
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows 7;German;German;Other;No;No;Enabled;11
17.02.2014;Desktop;Switzerland;Zurich;Zurich;Chrome;Windows 7;German;German;Other;No;No;Enabled;3
